pdf_name,page_num,block_id,age,age_confidence,gender,gender_confidence
BoothVoterList_A4_Ward_10_Booth_1.pdf,1,rectangle_1,80,0.736,M,0.6941
BoothVoterList_A4_Ward_10_Booth_1.pdf,1,rectangle_2,NULL,0.0187,F,0.6596
BoothVoterList_A4_Ward_10_Booth_1.pdf,1,rectangle_3,65,0.6422,M,0.6565
BoothVoterList_A4_Ward_10_Booth_1.pdf,1,rectangle_4,55,0.6476,F,0.7812
BoothVoterList_A4_Ward_10_Booth_1.pdf,1,rectangle_5,52,0.7127,M,0.6912
BoothVoterList_A4_Ward_10_Booth_1.pdf,1,rectangle_6,52,0.6615,M,0.7275
BoothVoterList_A4_Ward_10_Booth_1.pdf,1,rectangle_7,50,0.7156,M,0.6913
BoothVoterList_A4_Ward_10_Booth_1.pdf,1,rectangle_8,48,0.5636,F,0.6263
BoothVoterList_A4_Ward_10_Booth_1.pdf,1,rectangle_9,48,0.6367,F,0.6044
BoothVoterList_A4_Ward_10_Booth_1.pdf,1,rectangle_10,43,0.6569,M,0.7675
BoothVoterList_A4_Ward_10_Booth_1.pdf,1,rectangle_11,41,0.6421,F,0.6648
BoothVoterList_A4_Ward_10_Booth_1.pdf,1,rectangle_12,41,0.6091,M,0.7348
BoothVoterList_A4_Ward_10_Booth_1.pdf,1,rectangle_13,40,0.601,F,0.805
BoothVoterList_A4_Ward_10_Booth_1.pdf,1,rectangle_14,39,0.6127,F,0.7416
BoothVoterList_A4_Ward_10_Booth_1.pdf,1,rectangle_15,37,0.611,F,0.7235
BoothVoterList_A4_Ward_10_Booth_1.pdf,1,rectangle_16,35,0.5206,F,0.7249
BoothVoterList_A4_Ward_10_Booth_1.pdf,1,rectangle_17,34,0.5593,F,0.6671
BoothVoterList_A4_Ward_10_Booth_1.pdf,1,rectangle_18,33,0.5622,M,0.6478
BoothVoterList_A4_Ward_10_Booth_1.pdf,1,rectangle_19,33,0.6081,M,0.7437
BoothVoterList_A4_Ward_10_Booth_1.pdf,1,rectangle_20,33,0.5904,F,0.721
BoothVoterList_A4_Ward_10_Booth_1.pdf,1,rectangle_21,33,0.6469,M,0.7217
BoothVoterList_A4_Ward_10_Booth_1.pdf,1,rectangle_22,NULL,0.0856,F,0.6944
BoothVoterList_A4_Ward_10_Booth_1.pdf,1,rectangle_23,26,0.6317,M,0.6382
BoothVoterList_A4_Ward_10_Booth_1.pdf,1,rectangle_24,33,0.6925,F,0.6136
BoothVoterList_A4_Ward_10_Booth_1.pdf,1,rectangle_25,41,0.6588,F,0.7464
BoothVoterList_A4_Ward_10_Booth_1.pdf,1,rectangle_26,36,0.576,F,0.6698
BoothVoterList_A4_Ward_10_Booth_1.pdf,1,rectangle_27,28,0.6294,F,0.6446
BoothVoterList_A4_Ward_10_Booth_1.pdf,1,rectangle_28,23,0.557,M,0.716
BoothVoterList_A4_Ward_10_Booth_1.pdf,1,rectangle_29,23,0.6183,F,0.6012
BoothVoterList_A4_Ward_10_Booth_1.pdf,1,rectangle_30,56,0.6746,F,0.5812
BoothVoterList_A4_Ward_10_Booth_1.pdf,2,rectangle_1,40,0.644,M,0.6941
BoothVoterList_A4_Ward_10_Booth_1.pdf,2,rectangle_2,35,0.5683,F,0.6596
BoothVoterList_A4_Ward_10_Booth_1.pdf,2,rectangle_3,45,0.5838,F,0.6314
BoothVoterList_A4_Ward_10_Booth_1.pdf,2,rectangle_4,40,0.6616,F,0.7812
